id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_aName,gene_b,gene_bName,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,interacting_cell,value,id,PreNonEffectiveScore,PostNonEffectiveScore,NonEffectiveRatio,NonEffectiveFoldChange,PreEffectiveScore,PostEffectiveScore,EffectiveRatio,EffectiveFoldChange,EffectiveVsNonEffectiveRatio,FoldChange(EffectiveCombineNonEffective),FoldChange,LigandCellset,ReceptorCellset
CPI-SS09808DEAE,CD74_APP,simple:P04233,simple:P05067,ENSG00000019582,CD74,ENSG00000142192,APP,FALSE,TRUE,FALSE,curated,FALSE,0.13,B_cells.CD8_ex_T_cells,72.48,CD74_APP-B_cells.CD8_ex_T_cells,72.48,95.794,1.321661148,0.5-2,,,,,0.756623588,0.5-2,0.5-2,B_cells,CD8_ex_T_cells
CPI-SS087321EB5,SELL_SELPLG,simple:P14151,simple:Q14242,ENSG00000188404,SELL,ENSG00000110876,SELPLG,FALSE,FALSE,TRUE,curated,FALSE,0.157,B_cells.CD8_ex_T_cells,1.427,SELL_SELPLG-B_cells.CD8_ex_T_cells,1.427,1.965,1.377014716,0.5-2,2.31,1.87,0.80952381,0.5-2,0.587883194,0.5-2,0.5-2,B_cells,CD8_ex_T_cells
CPI-SC0329D5397,ICAM3_aLb2 complex,simple:P32942,complex:aLb2 complex,ENSG00000076662,ICAM3,,#N/A,FALSE,FALSE,FALSE,curated,TRUE,0.21,B_cells.CD8_ex_T_cells,1.307,ICAM3_aLb2 complex-B_cells.CD8_ex_T_cells,1.307,1.197,0.915837796,0.5-2,,,,,1.091896408,0.5-2,0.5-2,B_cells,CD8_ex_T_cells
CPI-SS02A0FF87F,FAM3C_CLEC2D,simple:Q92520,simple:Q9UHP7,ENSG00000196937,FAM3C,ENSG00000069493,CLEC2D,TRUE,FALSE,TRUE,"IMEx,InnateDB-All,IntAct",FALSE,0.216,B_cells.CD8_ex_T_cells,3.71,FAM3C_CLEC2D-B_cells.CD8_ex_T_cells,3.71,2.74,0.738544474,0.5-2,,,,,1.354014599,0.5-2,0.5-2,B_cells,CD8_ex_T_cells
CPI-SS0302E8E8F,CD74_COPA,simple:P04233,simple:P53621,ENSG00000019582,CD74,ENSG00000122218,COPA,TRUE,TRUE,FALSE,"IMEx,IntAct",FALSE,0.222,B_cells.CD8_ex_T_cells,72.574,CD74_COPA-B_cells.CD8_ex_T_cells,72.574,95.858,1.320831152,0.5-2,90.121,72.197,0.801111839,0.5-2,0.606521006,0.5-2,0.5-2,B_cells,CD8_ex_T_cells
CPI-SS061A7E099,CD55_ADGRE5,simple:P08174,simple:P48960,ENSG00000196352,CD55,ENSG00000123146,ADGRE5,TRUE,TRUE,TRUE,curated,FALSE,0.225,B_cells.CD8_ex_T_cells,1.788,CD55_ADGRE5-B_cells.CD8_ex_T_cells,1.788,2.745,1.535234899,0.5-2,,,,,0.65136612,0.5-2,0.5-2,B_cells,CD8_ex_T_cells
CPI-SS0ABC5C1B8,CD74_MIF,simple:P04233,simple:P14174,ENSG00000019582,CD74,ENSG00000240972,MIF,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,0.225,B_cells.CD8_ex_T_cells,75.07,CD74_MIF-B_cells.CD8_ex_T_cells,75.07,99.579,1.32648195,0.5-2,93.166,75.224,0.807419016,0.5-2,0.608692049,0.5-2,0.5-2,B_cells,CD8_ex_T_cells
CPI-SS087321EB5,SELL_SELPLG,simple:P14151,simple:Q14242,ENSG00000188404,SELL,ENSG00000110876,SELPLG,FALSE,FALSE,TRUE,curated,FALSE,0.157,B_cells.CD8_mem_T_cells,1.69,SELL_SELPLG-B_cells.CD8_mem_T_cells,1.69,1.587,0.939053254,0.5-2,,,,,1.064902332,0.5-2,0.5-2,B_cells,CD8_mem_T_cells
CPI-SS02A0FF87F,FAM3C_CLEC2D,simple:Q92520,simple:Q9UHP7,ENSG00000196937,FAM3C,ENSG00000069493,CLEC2D,TRUE,FALSE,TRUE,"IMEx,InnateDB-All,IntAct",FALSE,0.216,B_cells.CD8_mem_T_cells,3.053,FAM3C_CLEC2D-B_cells.CD8_mem_T_cells,3.053,2.714,0.888961677,0.5-2,,,,,1.124907885,0.5-2,0.5-2,B_cells,CD8_mem_T_cells
CPI-SS0302E8E8F,CD74_COPA,simple:P04233,simple:P53621,ENSG00000019582,CD74,ENSG00000122218,COPA,TRUE,TRUE,FALSE,"IMEx,IntAct",FALSE,0.222,B_cells.CD8_mem_T_cells,72.547,CD74_COPA-B_cells.CD8_mem_T_cells,72.547,96.058,1.324079562,0.5-2,90.14,72.201,0.800987353,0.5-2,0.60493899,0.5-2,0.5-2,B_cells,CD8_mem_T_cells
CPI-SS061A7E099,CD55_ADGRE5,simple:P08174,simple:P48960,ENSG00000196352,CD55,ENSG00000123146,ADGRE5,TRUE,TRUE,TRUE,curated,FALSE,0.225,B_cells.CD8_mem_T_cells,1.883,CD55_ADGRE5-B_cells.CD8_mem_T_cells,1.883,3.018,1.602761551,0.5-2,4.209,1.83,0.434782609,>2 or <0.5,0.271270925,>2 or <0.5,>2 or <0.5,B_cells,CD8_mem_T_cells
CPI-SS0ABC5C1B8,CD74_MIF,simple:P04233,simple:P14174,ENSG00000019582,CD74,ENSG00000240972,MIF,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,0.225,B_cells.CD8_mem_T_cells,74.578,CD74_MIF-B_cells.CD8_mem_T_cells,74.578,98.498,1.320738019,0.5-2,92.563,74.822,0.808335944,0.5-2,0.612033524,0.5-2,0.5-2,B_cells,CD8_mem_T_cells
CPI-SS09648FAA9,TNFRSF13C_TNFSF13B,simple:Q96RJ3,simple:Q9Y275,ENSG00000159958,TNFRSF13C,ENSG00000102524,TNFSF13B,TRUE,TRUE,FALSE,guidetopharmacology.org,FALSE,0.009,B_cells.DCs,3.522,TNFRSF13C_TNFSF13B-B_cells.DCs,3.522,5.212,1.479840999,0.5-2,5.567,6.848,1.230105982,0.5-2,0.831241993,0.5-2,0.5-2,B_cells,DCs
CPI-SS03C51D352,TNFRSF13B_TNFSF13B,simple:O14836,simple:Q9Y275,ENSG00000240505,TNFRSF13B,ENSG00000102524,TNFSF13B,TRUE,TRUE,FALSE,curated,FALSE,0.009,B_cells.DCs,4.097,TNFRSF13B_TNFSF13B-B_cells.DCs,4.097,6.156,1.502562851,0.5-2,5.756,7.317,1.271195274,0.5-2,0.846018037,0.5-2,0.5-2,B_cells,DCs
CPI-SS0AA47D179,TNFRSF13B_CD70,simple:O14836,simple:P32970,ENSG00000240505,TNFRSF13B,ENSG00000125726,CD70,TRUE,TRUE,FALSE,InnateDB-All,FALSE,0.019,B_cells.DCs,2.115,TNFRSF13B_CD70-B_cells.DCs,2.115,1.674,0.791489362,0.5-2,1.003,1.211,1.207377866,0.5-2,1.525450529,0.5-2,0.5-2,B_cells,DCs
CPI-SS098EFF959,CCR7_CCL19,simple:P32248,simple:Q99731,ENSG00000126353,CCR7,ENSG00000172724,CCL19,TRUE,TRUE,FALSE,curated,FALSE,0.028,B_cells.DCs,5.621,CCR7_CCL19-B_cells.DCs,5.621,5.937,1.056217755,0.5-2,5.986,12.258,2.047778149,>2 or <0.5,1.938784062,>2 or <0.5,0.5-2,B_cells,DCs
CPI-SS05D23BCE8,HLA-DPB1_TNFSF13B,simple:HLADPB1,simple:Q9Y275,ENSG00000223865,HLA-DPB1,ENSG00000102524,TNFSF13B,TRUE,TRUE,FALSE,InnateDB-All,FALSE,0.04,B_cells.DCs,14.107,HLA-DPB1_TNFSF13B-B_cells.DCs,14.107,17.748,1.258098816,0.5-2,17.575,17.119,0.974054054,0.5-2,0.774226986,0.5-2,0.5-2,B_cells,DCs
CPI-SS0F00D756A,CD40_TNFSF13B,simple:P25942,simple:Q9Y275,ENSG00000101017,CD40,ENSG00000102524,TNFSF13B,TRUE,TRUE,FALSE,"I2D,InnateDB",FALSE,0.056,B_cells.DCs,4.359,CD40_TNFSF13B-B_cells.DCs,4.359,6.365,1.460197293,0.5-2,7.195,7.881,1.095343989,0.5-2,0.750134242,0.5-2,0.5-2,B_cells,DCs
CPI-SC0EB8DC52F,CD47_SIRB1 complex,simple:Q08722,complex:SIRB1 complex,ENSG00000196776,CD47,,#N/A,FALSE,TRUE,TRUE,curated,FALSE,0.056,B_cells.DCs,1.156,CD47_SIRB1 complex-B_cells.DCs,1.156,1.319,1.14100346,0.5-2,,,,,0.876421532,0.5-2,0.5-2,B_cells,DCs
CPI-SS0D4BF6CA3,CD27_CD70,simple:P26842,simple:P32970,ENSG00000139193,CD27,ENSG00000125726,CD70,TRUE,TRUE,FALSE,curated,FALSE,0.108,B_cells.DCs,1.676,CD27_CD70-B_cells.DCs,1.676,0.989,0.590095465,0.5-2,,,,,1.694641053,0.5-2,0.5-2,B_cells,DCs
CPI-SS09808DEAE,CD74_APP,simple:P04233,simple:P05067,ENSG00000019582,CD74,ENSG00000142192,APP,FALSE,TRUE,FALSE,curated,FALSE,0.13,B_cells.DCs,72.763,CD74_APP-B_cells.DCs,72.763,95.876,1.317647706,0.5-2,89.757,72.267,0.805140546,0.5-2,0.611043864,0.5-2,0.5-2,B_cells,DCs
CPI-SS0A76A8E97,HLA-F_LILRB2,simple:P30511,simple:Q8N423,ENSG00000204642,HLA-F,ENSG00000274513,LILRB2,FALSE,FALSE,TRUE,curated,FALSE,0.151,B_cells.DCs,1.155,HLA-F_LILRB2-B_cells.DCs,1.155,0.979,0.847619048,0.5-2,,,,,1.17977528,0.5-2,0.5-2,B_cells,DCs
CPI-SS087321EB5,SELL_SELPLG,simple:P14151,simple:Q14242,ENSG00000188404,SELL,ENSG00000110876,SELPLG,FALSE,FALSE,TRUE,curated,FALSE,0.157,B_cells.DCs,1.282,SELL_SELPLG-B_cells.DCs,1.282,1.574,1.227769111,0.5-2,,,,,0.814485387,0.5-2,0.5-2,B_cells,DCs
CPI-SS0302E8E8F,CD74_COPA,simple:P04233,simple:P53621,ENSG00000019582,CD74,ENSG00000122218,COPA,TRUE,TRUE,FALSE,"IMEx,IntAct",FALSE,0.222,B_cells.DCs,72.387,CD74_COPA-B_cells.DCs,72.387,95.668,1.321618523,0.5-2,89.906,71.955,0.800335906,0.5-2,0.605572555,0.5-2,0.5-2,B_cells,DCs
CPI-SS0ABC5C1B8,CD74_MIF,simple:P04233,simple:P14174,ENSG00000019582,CD74,ENSG00000240972,MIF,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,0.225,B_cells.DCs,74.804,CD74_MIF-B_cells.DCs,74.804,97.356,1.301481204,0.5-2,90.79,73.059,0.804703161,0.5-2,0.61829795,0.5-2,0.5-2,B_cells,DCs
CPI-SS0EB5AEC83,SELL_CD34,simple:P14151,simple:P28906,ENSG00000188404,SELL,ENSG00000174059,CD34,FALSE,FALSE,FALSE,curated,FALSE,0.019,B_cells.Endothelial,2.96,SELL_CD34-B_cells.Endothelial,2.96,2.589,0.874662162,0.5-2,3.241,1.781,0.549521753,0.5-2,0.628267435,0.5-2,0.5-2,B_cells,Endothelial
CPI-SS06F83AE58,CD44_SELE,simple:P16070,simple:P16581,ENSG00000026508,CD44,ENSG00000007908,SELE,FALSE,TRUE,FALSE,curated,FALSE,0.049,B_cells.Endothelial,4.829,CD44_SELE-B_cells.Endothelial,4.829,8.374,1.73410644,0.5-2,8.648,4.981,0.575971323,0.5-2,0.332143004,0.5-2,>2 or <0.5,B_cells,Endothelial
CPI-SS09808DEAE,CD74_APP,simple:P04233,simple:P05067,ENSG00000019582,CD74,ENSG00000142192,APP,FALSE,TRUE,FALSE,curated,FALSE,0.13,B_cells.Endothelial,76.13,CD74_APP-B_cells.Endothelial,76.13,100.133,1.315289636,0.5-2,92.429,75.694,0.818942107,0.5-2,0.622632525,0.5-2,0.5-2,B_cells,Endothelial
CPI-SS0302E8E8F,CD74_COPA,simple:P04233,simple:P53621,ENSG00000019582,CD74,ENSG00000122218,COPA,TRUE,TRUE,FALSE,"IMEx,IntAct",FALSE,0.222,B_cells.Endothelial,72.443,CD74_COPA-B_cells.Endothelial,72.443,95.707,1.321135237,0.5-2,90.098,72.202,0.80137184,0.5-2,0.606578205,0.5-2,0.5-2,B_cells,Endothelial
CPI-SS0ABC5C1B8,CD74_MIF,simple:P04233,simple:P14174,ENSG00000019582,CD74,ENSG00000240972,MIF,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,0.225,B_cells.Endothelial,75.427,CD74_MIF-B_cells.Endothelial,75.427,99.085,1.313654262,0.5-2,92.809,75.964,0.818498206,0.5-2,0.62306973,0.5-2,0.5-2,B_cells,Endothelial
CPI-SS0DCA69916,TNFRSF13B_TNFSF13,simple:O14836,simple:O75888,ENSG00000240505,TNFRSF13B,ENSG00000161955,TNFSF13,TRUE,TRUE,FALSE,curated,FALSE,0.006,B_cells.Macrophages,1.243,TNFRSF13B_TNFSF13-B_cells.Macrophages,1.243,1.545,1.242960579,0.5-2,0.707,1.082,1.530410184,0.5-2,1.231262045,0.5-2,0.5-2,B_cells,Macrophages
CPI-SS09648FAA9,TNFRSF13C_TNFSF13B,simple:Q96RJ3,simple:Q9Y275,ENSG00000159958,TNFRSF13C,ENSG00000102524,TNFSF13B,TRUE,TRUE,FALSE,guidetopharmacology.org,FALSE,0.009,B_cells.Macrophages,1.013,TNFRSF13C_TNFSF13B-B_cells.Macrophages,1.013,1.561,1.540967423,0.5-2,0.846,2.829,3.343971631,>2 or <0.5,2.170046934,>2 or <0.5,>2 or <0.5,B_cells,Macrophages
CPI-SS03C51D352,TNFRSF13B_TNFSF13B,simple:O14836,simple:Q9Y275,ENSG00000240505,TNFRSF13B,ENSG00000102524,TNFSF13B,TRUE,TRUE,FALSE,curated,FALSE,0.009,B_cells.Macrophages,1.587,TNFRSF13B_TNFSF13B-B_cells.Macrophages,1.587,2.505,1.578449905,0.5-2,1.035,3.298,3.18647343,>2 or <0.5,2.018735862,>2 or <0.5,>2 or <0.5,B_cells,Macrophages
CPI-SS05D23BCE8,HLA-DPB1_TNFSF13B,simple:HLADPB1,simple:Q9Y275,ENSG00000223865,HLA-DPB1,ENSG00000102524,TNFSF13B,TRUE,TRUE,FALSE,InnateDB-All,FALSE,0.04,B_cells.Macrophages,11.598,HLA-DPB1_TNFSF13B-B_cells.Macrophages,11.598,14.097,1.215468184,0.5-2,12.854,13.1,1.019138012,0.5-2,0.838473623,0.5-2,0.5-2,B_cells,Macrophages
CPI-SS0F00D756A,CD40_TNFSF13B,simple:P25942,simple:Q9Y275,ENSG00000101017,CD40,ENSG00000102524,TNFSF13B,TRUE,TRUE,FALSE,"I2D,InnateDB",FALSE,0.056,B_cells.Macrophages,1.85,CD40_TNFSF13B-B_cells.Macrophages,1.85,2.714,1.467027027,0.5-2,2.474,3.861,1.560630558,0.5-2,1.063804912,0.5-2,0.5-2,B_cells,Macrophages
CPI-SS00150FB64,HLA-F_LILRB1,simple:P30511,simple:Q8NHL6,ENSG00000204642,HLA-F,ENSG00000276452,LILRB1,TRUE,FALSE,TRUE,curated,FALSE,0.071,B_cells.Macrophages,1.035,HLA-F_LILRB1-B_cells.Macrophages,1.035,1.027,0.992270531,0.5-2,,,,,1.007789679,0.5-2,0.5-2,B_cells,Macrophages
CPI-SS09808DEAE,CD74_APP,simple:P04233,simple:P05067,ENSG00000019582,CD74,ENSG00000142192,APP,FALSE,TRUE,FALSE,curated,FALSE,0.13,B_cells.Macrophages,72.538,CD74_APP-B_cells.Macrophages,72.538,95.87,1.3216521,0.5-2,90.185,72.569,0.804668182,0.5-2,0.608835095,0.5-2,0.5-2,B_cells,Macrophages
CPI-SS0A76A8E97,HLA-F_LILRB2,simple:P30511,simple:Q8N423,ENSG00000204642,HLA-F,ENSG00000274513,LILRB2,FALSE,FALSE,TRUE,curated,FALSE,0.151,B_cells.Macrophages,1.43,HLA-F_LILRB2-B_cells.Macrophages,1.43,1.31,0.916083916,0.5-2,,,,,1.091603054,0.5-2,0.5-2,B_cells,Macrophages
CPI-SS0302E8E8F,CD74_COPA,simple:P04233,simple:P53621,ENSG00000019582,CD74,ENSG00000122218,COPA,TRUE,TRUE,FALSE,"IMEx,IntAct",FALSE,0.222,B_cells.Macrophages,72.436,CD74_COPA-B_cells.Macrophages,72.436,95.604,1.319840963,0.5-2,90.031,72.313,0.80320112,0.5-2,0.608559018,0.5-2,0.5-2,B_cells,Macrophages
CPI-SS0ABC5C1B8,CD74_MIF,simple:P04233,simple:P14174,ENSG00000019582,CD74,ENSG00000240972,MIF,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,0.225,B_cells.Macrophages,75.916,CD74_MIF-B_cells.Macrophages,75.916,98.094,1.29213868,0.5-2,94.391,73.873,0.782627581,0.5-2,0.605683889,0.5-2,0.5-2,B_cells,Macrophages
CPI-SS0C4E86714,TNFRSF1B_GRN,simple:P20333,simple:P28799,ENSG00000028137,TNFRSF1B,ENSG00000030582,GRN,TRUE,TRUE,FALSE,"IMEx,InnateDB-All,MINT",FALSE,0.272,B_cells.Macrophages,2.035,TNFRSF1B_GRN-B_cells.Macrophages,2.035,2.388,1.173464373,0.5-2,,,,,0.852177555,0.5-2,0.5-2,B_cells,Macrophages
CPI-SS08A819670,CD70_GPRC5B,simple:P32970,simple:Q9NZH0,ENSG00000125726,CD70,ENSG00000167191,GPRC5B,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.019,B_cells.Melanocytes,1.122,CD70_GPRC5B-B_cells.Melanocytes,1.122,1.208,1.076648841,0.5-2,,,,,0.928807947,0.5-2,0.5-2,B_cells,Melanocytes
CPI-SS04F3A1E5C,COPA_SORT1,simple:P53621,simple:Q99523,ENSG00000122218,COPA,ENSG00000134243,SORT1,TRUE,FALSE,TRUE,"IMEx,InnateDB-All,IntAct,MatrixDB",FALSE,0.096,B_cells.Melanocytes,0.563,COPA_SORT1-B_cells.Melanocytes,0.563,0.617,1.095914742,0.5-2,,,,,0.912479741,0.5-2,0.5-2,B_cells,Melanocytes
CPI-SS09808DEAE,CD74_APP,simple:P04233,simple:P05067,ENSG00000019582,CD74,ENSG00000142192,APP,FALSE,TRUE,FALSE,curated,FALSE,0.13,B_cells.Melanocytes,72.42,CD74_APP-B_cells.Melanocytes,72.42,95.961,1.325062138,0.5-2,,,,,0.754681589,0.5-2,0.5-2,B_cells,Melanocytes
